section,sent.no,filename,sentences,neutral,generalization,exemplification,attribution,conditional,ID
e,156,nlh.47.1.626118_nonotes.txt,"To this end, one of the main merits of Merleau-Ponty’s framing of cinema as art is that it is not wedded to celluloid film and the oft-discussed reality effect its highly indexical-iconic images.",1,0,0,0,0,1
b,207,ahr.2016.121.2.437_nonotes.txt,"In their response they chastised her for her unfeminine conduct, quoting a famous line from a text she had memorized as a child.",1,0,0,0,0,2
b,180,ahr.2016.121.1.17_nonotes.txt,"VOC officials who encountered these arguments felt the legal ground shifting beneath their feet, often in disconcerting ways, and had no illusions that their arguments had been understood and turned against them.",1,0,0,0,0,3
e,288,asr.2016.81.5.1039_nonotes.txt,In YEAR—for the first time since YEAR—white women’s earnings became more similar to the earnings of black men than to those of black women.,0,1,0,0,0,4
e,171,sr.55.2.05_nonotes.txt," With its large type, ostentatious margins, and magnificent price, the Excursion quarto's profile as a pompously overpriced luxury good subverted the purported egalitarianism of its text, creating a ""mercantile speculation"" at visible odds with its text's glorification of impoverished figures like the Wanderer, Margaret, and the Solitary.",0,1,0,0,0,5
b,216,modernismmodernity.2016.23.4.771_nonotes.txt,"A plastic, adaptable subject turned into an artist with plastic aspirations: this condensed picture of Conrad's metamorphosis already reveals, in a nutshell, the double, paradoxical struc- ture of plasticity itself.",0,1,1,0,0,6
e,291,modernismmodernity.2016.23.4.875_nonotes.txt,Hence the argument that we must not go down a certain path gains added force not only from Huxley's powerful imagery but also from the protagonist's increasing sense of being trapped.,1,0,0,0,0,7
e,207,ci.42.2.684358_nonotes.txt,"And thus, although the fact that Niobe does not believe Ghost might seem to refute Hume’s contention that repetition compels belief, in fact her indifference to Ghost’s reasoning attests to the power of constant conjunction: she has borne witness countless times to the guns being in perfectly good working order despite Ghost’s invocation of Hume to the contrary, hence her complacency.",1,0,0,0,0,8
b,237,pmla.2016.131.1.84_nonotes.txt,"On the other hand there was lunarism, which held that the cycles of the moon controlled atmospheric tides much as they controlled oceanic currents.",1,0,0,0,0,9
b,207,pmla.2016.131.5.1222_nonotes.txt,"Of this group of islands, Grande Comore, Anjouan, and Moheli became independent in YEAR, but Mayotte, the closest to Madagascar, voted to retain its colonial ties to France, making it an ""ultraperipheral region of the European Union"".",1,0,0,0,0,10
b,177,sr.55.4.03_nonotes.txt,"Developing a model of what I will call ""traumatic reading"" through Coleridgean layers of telling, my speculative excavation of the ""submerged"" condition of ""The Ancient Mariner"" is pitched towards a clinical diagnosis of its central figure (a diagnosis that also partly relates to Coleridge himself).",0,1,1,0,0,11
e,279,nlh.47.2.631307_nonotes.txt,"On the opening pages we read: “It’s truly a novel, that story about Aramis . . .”",1,0,0,0,0,12
b,198,sn.48.2.03_nonotes.txt,"My husband and I went through Boulder, Nebraska thirty years ago, on our way out here.",1,0,0,0,0,13
b,258,pmla.2016.131.2.289_nonotes.txt,Neither of these points of view adequately characterizes the attitudes of the thinkers and jurists of the eighteenth century.,1,0,0,0,0,14
b,180,modernismmodernity.2016.23.3.631_nonotes.txt,Even a brief survey of the literary affiliations of the weird-modernist and contemporary-requires a more specific account of the nineteenth-century literary imagination that subtends the imagined worlds of the New Weird and the nonhuman theories that share many of its interests.,1,0,0,0,0,15
b,303,asr.2016.81.3.517_nonotes.txt,McAdam (YEAR) argues that tactical innovation is borne out of challengers’ attempts to develop new tactics as soon as established tactics are neutralized by authorities.,0,1,0,1,0,16
e,183,pmla.2016.131.2.324_nonotes.txt,"These are the debates, between literature and data, that will define the profession in our prolonged crisis.",0,1,0,0,0,17
b,237,sr.55.4.01_nonotes.txt,"The textual ghosts that stalk through ""Nightingale"" clearly include Hamlet the King, who helps make Shakespeare one of the two dominating intertextual presences of Keats's poem.",1,0,0,0,0,18
b,249,nlh.47.1.626116_nonotes.txt,"We can do this because these approaches come with the authority of an established critical convention, and that is also the reason why we may not feel the need for an analysis and justification of the tacit assumptions on which they are based.",1,0,0,0,0,19
e,261,asr.2016.81.2.374_nonotes.txt,"Past research has actively examined the link between interlock structures and business collective action, but scholars tend to treat network structures as given and have not assessed the potential reciprocity between collective action and interlock structures.",0,1,0,0,0,20
b,231,asr.2016.81.4.749_nonotes.txt,"We supplement the individual records with indicators of income inequality, opportunities in the middle of the local labor market, and sex ratios measured at the county level, for respondents living in large counties, and the county-group level, for respondents living in medium-sized and smaller counties, as well as the unemployment rate measured at the county level for everyone.",1,0,0,0,0,21
e,336,asr.2016.81.2.347_nonotes.txt,"Combined with rent generation at the top, rent destruction by downsizing at the bottom can exacerbate economic inequality among workers.",0,1,0,0,0,22
e,210,modernismmodernity.2016.23.2.297_nonotes.txt,"Arriving almost thirty years after Deleuze and Guattari's ""nomadology"" and during the ongoing ""War on Terror,"" Wu Ming 's recent novel, Stella del mattino (YEAR) takes a different tack, reframing Lawrence's text by returning to the queer times of its composition.",1,0,0,0,0,23
e,336,pmla.2016.131.5.1299_nonotes.txt,Then suddenly the sign above the heads of the believers dissolved before his eyes.,1,0,0,0,0,24
b,165,sr.55.1.01_nonotes.txt,"Furthermore, they inform the very core of many of the secondvolume poems, especially the greatest of them, Michael.",1,0,0,0,0,25
b,288,asr.2016.81.1.107_nonotes.txt,"This is not to say that early insults do not have a direct effect on health, only that other life course risks and resources should be considered simultaneously.",1,0,0,0,0,26
e,273,pmla.2016.131.3.686_nonotes.txt,The reporter from the provincial capital appeared exceedingly satisfied with his exclusive interview.,1,0,0,0,0,27
b,240,pmla.2016.131.5.1316_nonotes.txt,"By drawing eclectically on a variety of different languages and dialects, he creates a literary language that challenges conventional understandings of what it means to write in Chinese.",1,0,0,0,0,28
b,273,modernismmodernity.2016.23.1.219_nonotes.txt,"Fashion may be in a race with death (Giacomo Leopardi said this in YEAR; Walter Benjamin copied it as an epigraph for the fashion convolute in his Arcades project), but academia is in a race with fashion.",0,1,0,0,0,29
e,270,ci.42.3.685601_nonotes.txt,"In many ways, advances in biology are bringing back, or renewing, a period that was believed to be past.",0,1,0,0,0,30
e,285,ci.43.1.688305_nonotes.txt,This and other sculptural works from the Zhongshan mausoleums impress us not only with their vivid images and strong three-dimensionality but also with their brilliant colors and ornamentation.,1,0,0,0,0,31
b,201,ahr.2016.121.3.824_nonotes.txt,These provide evidence of contemporaries’ investment in photographs as a source for future historians at the same time that the exhibition helped viewers interpret the events of that week.,1,0,0,0,0,32
e,174,ahr.2016.121.2.403_nonotes.txt,"Vacuum pans lowered the boiling point of the syrup and hence increased its rate of evaporation, while requiring less energy and thereby economizing on fuel.",1,0,0,0,0,33
e,192,sn.48.2.01_nonotes.txt,"One example of the latter would be John Barthes’s classic metafictional short story “Lost in the Funhouse” (YEAR), in which the authorial narrator continually intrudes to stall the narrative by questioning whether the story in progress is engaging the reader with sufficient realist detail and plausible characters.",1,0,0,0,0,34
b,237,pmla.2016.131.1.64_nonotes.txt,His role as a dissenter and early advocate of the separation of church and state has made him an icon for religious liberty.,1,0,0,0,0,35
b,162,nlh.47.1.626115_nonotes.txt,"The decision invalidated the District of Columbia’s comprehensive gun-control legislation, but left the way open to more restricted laws controlling the possession of firearms in the United States.",1,0,0,0,0,36
b,276,asr.2016.81.6.1190_nonotes.txt,"Consequently, when others have uncertainty about actors’ skills or intentions or the quality of their output, brokerage can become a liability rather than an advantage.",0,1,0,0,0,37
e,189,modernismmodernity.2016.23.2.423_nonotes.txt,There's a sudden sense of wonderment and of perfection.,1,0,0,0,0,38
b,198,nlh.47.1.626119_nonotes.txt,"The purpose here is not to offer a comprehensive account of scientific explanation (or, for that matter, of interpretation), but to point to some of the tangible, and fairly commonsensical, discrepancies between them.",1,0,0,0,0,39
b,291,ci.43.1.677294_nonotes.txt,"Unlike Deleuze, he challenges what he sees as a mistreatment of signs of revelation in Spinoza, a dismissal of signification as such.",1,0,0,0,0,40
e,237,pmla.2016.131.1.84_nonotes.txt,"From the ""suffusion of vapour"" that softens this woman's face and melds with the ""dusk and sot"" tints of the artist's palette to the ""electric travail"" that is environment (storm) and body (hair), Jane leaves this ""vision of the Evening Star"" open-ended.",1,0,0,0,0,41
